name,modeName,date,statusSeverity,statusSeverityDescription,reason,disruptionDescription,closureText
Bakerloo,tube,2026-03-31,10,Good Service,,,
Central,tube,2026-03-31,9,Minor Delays,Central Line: Minor delays between Leytonstone and Hainault via Newbury Park due to a points failure at Hainault. GOOD SERVICE on the rest of the line.  ,,
Circle,tube,2026-03-31,10,Good Service,,,
District,tube,2026-03-31,10,Good Service,,,
DLR,dlr,2026-03-31,10,Good Service,,,
Elizabeth line,elizabeth-line,2026-03-31,6,Severe Delays,"Severe delays between Abbey Wood and Heathrow Terminals / Reading  while we fix a points failure in the Hanwell area. London Underground, London buses, Great Western Railways and Southwestern railways are accepting tickets via any reasonable route. GOOD SERVICE on the rest of the line. ",,
Hammersmith & City,tube,2026-03-31,10,Good Service,,,
Jubilee,tube,2026-03-31,10,Good Service,,,
Liberty,overground,2026-03-31,10,Good Service,,,
Lioness,overground,2026-03-31,10,Good Service,,,
Metropolitan,tube,2026-03-31,10,Good Service,,,
Mildmay,overground,2026-03-31,10,Good Service,,,
Northern,tube,2026-03-31,10,Good Service,,,
Piccadilly,tube,2026-03-31,5,Part Closure,"PICCADILLY LINE: Saturday 25 and Sunday 26 April, no service between Rayners Lane and Uxbridge. Use METROPOLITAN LINE services instead.",,
Suffragette,overground,2026-03-31,10,Good Service,,,
Victoria,tube,2026-03-31,10,Good Service,,,
Waterloo & City,tube,2026-03-31,4,Planned Closure,"Waterloo & City line: service operates 06:00 until 00:30, Monday to Friday only. There is no service on Saturdays, Sundays and on bank/public holidays.",,
Weaver,overground,2026-03-31,10,Good Service,,,
Windrush,overground,2026-03-31,6,Severe Delays,Windrush Line: Severe delays due to an earlier signal failure at Brockley. London Underground is accepting tickets via any reasonable route.  ,,
