Borough,total_gva_m,gva_year
Barking and Dagenham,6983.5,2018
Barnet,17988.8,2018
Bexley,12117.8,2018
Brent,17411.3,2018
Bromley,16540.2,2018
Camden,68061.2,2018
Croydon,17830.1,2018
Ealing,18623.9,2018
Enfield,14945.3,2018
Greenwich,10852.8,2018
Hackney,16245.2,2018
Hammersmith and Fulham,21033.5,2018
Haringey,8062.8,2018
Harrow,10437.4,2018
Havering,11423.1,2018
Hillingdon,28131.5,2018
Hounslow,36112.4,2018
Islington,37251.6,2018
Kensington and Chelsea,20829.4,2018
Kingston upon Thames,10238.4,2018
Lambeth,24637.5,2018
Lewisham,7569.1,2018
London,135418.1,2018
Merton,11468.0,2018
Newham,12819.7,2018
Redbridge,10127.4,2018
Richmond upon Thames,15269.0,2018
Southwark,39233.3,2018
Sutton,8649.6,2018
Tower Hamlets,67537.4,2018
Waltham Forest,8795.4,2018
Wandsworth,15603.2,2018
