Date,Country,Borough,Sub-region,Level 1,Level 2,Sales £m,GVA £m,Export Total £m,Total Imports £m,Number of companies,Total Number of Employees,Forecast Sales 2024/25,Forecast Sales 2025/26,Forecast Sales 2026/27,Forecast Sales 2027/28,Forecast Sales 2028/29
2023/24,UK,Westminster City,Central London Forward,Environmental,Air Pollution,8.6144,2.651839,0.4451265,0.3657427,2.746221,76.99095,8.927981,9.275431,9.661803,10.09256,10.57447
2023/24,UK,Westminster City,Central London Forward,Environmental,Contaminated Land,8.184005,2.667917,0.4721218,0.3583293,9.158084,76.50539,8.559252,8.979753,9.452084,9.984337,10.58619
2023/24,UK,Westminster City,Central London Forward,Environmental,Environmental Consultancy,15.76171,5.336562,0.8827885,0.7724825,19.73553,155.6761,16.57224,17.48453,18.51536,19.6857,21.01944
2023/24,UK,Westminster City,Central London Forward,Environmental,Environmental Monitoring,4.514493,1.443636,0.2321831,0.2117974,2.822664,32.72972,4.729952,4.97195,5.244253,5.552179,5.901295
2023/24,UK,Westminster City,Central London Forward,Environmental,Marine Pollution Control,3.514191,1.137165,0.188669,0.1657288,1.855171,26.3285,3.704758,3.919822,4.162699,4.439059,4.754706
2023/24,UK,Westminster City,Central London Forward,Environmental,Noise & Vibration Control,6.716763,2.392449,0.3989726,0.3315022,7.035848,40.77922,7.068608,7.465344,7.91342,8.421614,9.001506
2023/24,UK,Westminster City,Central London Forward,Environmental,Recovery and Recycling,161.1603,53.13056,9.642964,7.816461,70.13566,1102.379,169.4309,178.7321,189.235,201.137,214.6886
2023/24,UK,Westminster City,Central London Forward,Environmental,Waste Management,149.5867,45.4243,7.653517,6.907807,64.45079,1247.498,155.863,162.8528,170.6602,179.4297,189.3054
2023/24,UK,Westminster City,Central London Forward,Environmental,Water & Waste Water Treatment,188.4083,57.34515,9.877795,8.095487,95.49347,1809.495,193.3548,198.7828,204.765,211.3597,218.6447
2023/24,UK,Westminster City,Central London Forward,Low Carbon,Additional Energy Sources,22.34784,7.200967,1.428673,1.170533,10.00252,180.4667,23.7611,25.36945,27.20742,29.31934,31.75756
2023/24,UK,Westminster City,Central London Forward,Low Carbon,Alternative Fuel Vehicle,298.8825,106.0358,17.97317,15.02955,162.6833,2559.533,322.0194,348.6522,379.5776,415.7963,458.3135
