name,modeName,date,statusSeverity,statusSeverityDescription,reason,disruptionDescription,closureText
Bakerloo,tube,2026-04-22,9,Minor Delays,Bakerloo Line: Minor delays between Queen's Park and Harrow & Wealdstone due to an earlier faulty train at Paddington. GOOD SERVICE on the rest of the line. ,,
Central,tube,2026-04-22,10,Good Service,,,
Circle,tube,2026-04-22,2,Suspended,Circle Line: No service while we respond to a fire alert at Paddington. Tickets are being accepted on London buses.  ,,
District,tube,2026-04-22,3,Part Suspended,District Line: No service between Turnham Green and Richmond while we fix a signal failure at Gunnersbury. NO SERVICE between High Street Kensington and Edgware Road while we respond to a fire alert at Paddington. GOOD SERVICE on the rest of the line. Tickets are being accepted on London Buses and South Western Railway.  ,,
Hammersmith & City,tube,2026-04-22,10,Good Service,,,
Jubilee,tube,2026-04-22,6,Severe Delays,"Jubilee Line: Severe delays due to an earlier fire alert at West Ham. Tickets are being accepted on London Buses, DLR, Elizabeth Line, Mildmay line and C2C.  ",,
Liberty,overground,2026-04-22,10,Good Service,,,
Lioness,overground,2026-04-22,10,Good Service,,,
Metropolitan,tube,2026-04-22,6,Severe Delays,Metropolitan Line: Severe delays between Harrow-on-the-Hill and Aldgate while we respond to a fire alert at Paddington. GOOD SERVICE on the rest of the line. Tickets are being accepted on London Buses.  ,,
Mildmay,overground,2026-04-22,3,Part Suspended,Mildmay Line: No service between Richmond and Willesden Junction while we fix a signal failure at Gunnersbury. GOOD SERVICE on the rest of the line. Tickets are being accepted on London Buses.  ,,
Northern,tube,2026-04-22,6,Severe Delays,"Northern Line: Severe delays due to an earlier customer incident at Hampstead. Tickets are being accepted on London Buses, London Trams, Southeastern, South Western Railway and Thameslink. ",,
Piccadilly,tube,2026-04-22,10,Good Service,,,
Suffragette,overground,2026-04-22,10,Good Service,,,
Victoria,tube,2026-04-22,10,Good Service,,,
Waterloo & City,tube,2026-04-22,10,Good Service,,,
Weaver,overground,2026-04-22,10,Good Service,,,
Windrush,overground,2026-04-22,10,Good Service,,,
